spotify_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7iN1s7xHE4ifF5povM6A48,0.63,0.44,0.4,0.0,0.11,-8,0.03,143,0.41
6dGnYIeXmHdcikdzNNDMm2,0.03,0.56,0.54,0.0,0.18,-10,0.03,129,0.39
4pbG9SUmWIvsROVLF0zF9s,0.39,0.49,0.72,0.0,0.31,-6,0.05,131,0.87
3BQHpFgAp4l80e1XslIjNI,0.88,0.33,0.18,0.0,0.09,-12,0.03,97,0.32
5GjPQ0eI7AgmOnADn1EO6Q,0.94,0.58,0.28,0.0,0.31,-9,0.04,138,0.81
75zMKn5euxQdlkZgu4P42J,0.58,0.57,0.68,0.0,0.04,-11,0.26,114,0.61
77oU2rjC5XbjQfNe3bD6so,0.39,0.78,0.88,0.0,0.04,-4,0.03,101,0.89
744hdHz3CORMz3FcU230C4,0.78,0.36,0.62,0.0,0.15,-6,0.04,81,0.38
0JuW3zVUYjyW5BbtXq2to6,0.57,0.63,0.4,0.0,0.08,-15,0.04,89,0.6
2TVxnKdb3tqe1nhQWwwZCO,0.38,0.41,0.43,0.0,0.15,-11,0.03,145,0.28
38zsOOcu31XbbYj9BIPUF1,0.83,0.55,0.32,0.0,0.1,-11,0.03,128,0.32
7HW5WIw7ZgZORCzUxv5gW5,0.15,0.73,0.84,0.0,0.06,-9,0.03,131,0.78
0EANX0OVKSCcmarY50Xa4p,0.82,0.3,0.37,0.0,0.1,-9,0.03,122,0.15
3qczyRtur0tILibW9rHBFA,0.05,0.55,0.81,0.0,0.28,-4,0.09,135,0.22
2aEuXA1KswHlCGPOuPmCOW,0.1,0.71,0.67,0.0,0.23,-8,0.05,79,0.84
2aBxt229cbLDOvtL7Xbb9x,0.46,0.65,0.53,0.0,0.25,-8,0.04,79,0.49
4EI8VuxUuIHKfafU72emqz,0.03,0.83,0.47,0.0,0.09,-8,0.06,140,0.77
1z3ugFmUKoCzGsI6jdY4Ci,0.26,0.63,0.84,0.0,0.18,-5,0.04,111,0.26
1ZPlNanZsJSPK5h9YZZFbZ,0.15,0.77,0.66,0.0,0.07,-11,0.04,120,0.97
27QvYgBk0CHOVHthWnkuWt,0.01,0.74,0.88,0.0,0.42,-6,0.04,116,0.33
2fzykVsO2Di5jnofUNX3YE,0.01,0.74,0.8,0.09,0.14,-9,0.07,120,0.87
4xnp5cvuGKQGwuIRHCTUzh,0.62,0.53,0.46,0.0,0.14,-8,0.03,107,0.34
1pTGc8pwyo6xtgXBKCBcFn,0.25,0.47,0.28,0.0,0.13,-16,0.03,170,0.33
